T,Qdot
22.7143,71.4286
32.7143,71.4286
42.709,70.8995
52.709,70.8995
61.7037,70.3704
67.6614,66.1376
70.6085,60.8466
79.5926,59.2593
89.5873,58.7302
97.5873,58.7302
107.587,58.7302
117.582,58.2011
126.598,59.7884
133.635,63.4921
137.683,68.254
142.751,75.1323
145.799,79.8942
149.852,85.1852
155.889,88.8889
162.862,86.2434
167.815,81.4815
170.767,76.7196
174.72,71.9577
179.656,65.6085
185.614,61.3757
191.571,57.1429
201.556,55.5556
211.556,55.5556
219.55,55.0265
228.54,53.9683
236.503,50.2646
241.46,46.0317
247.402,40.2116
250.354,35.4497
253.302,30.1587
257.254,25.3968
261.206,20.6349
267.164,16.4021
275.18,17.9894
278.228,22.7513
281.28,28.0423
282.333,33.3333
284.381,38.0952
289.46,46.0317
295.503,50.2646
